file_path,label
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0001_0002_add.wav,0001
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0001_0004_add.wav,0001
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0001_0007_add.wav,0001
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0001_0008_add.wav,0001
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0001_0009.wav,0001
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0001_0010_add.wav,0001
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0001_0011.wav,0001
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0001_0018.wav,0001
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0001_0022.wav,0001
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0001_0044.wav,0001
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0002_0002_add.wav,0002
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0002_0004.wav,0002
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0002_0005_add.wav,0002
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0002_0006_add.wav,0002
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0002_0008_add.wav,0002
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0002_0020_add.wav,0002
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0002_0025.wav,0002
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0002_0039.wav,0002
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0002_0047.wav,0002
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0002_0052.wav,0002
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0003_0004.wav,0003
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0003_0004_add.wav,0003
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0003_0006_add.wav,0003
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0003_0010_add.wav,0003
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0003_0011_add.wav,0003
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0003_0012.wav,0003
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0003_0017_add.wav,0003
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0003_0021.wav,0003
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0003_0045.wav,0003
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0003_0046.wav,0003
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0004_0001.wav,0004
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0004_0002.wav,0004
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0004_0009_add.wav,0004
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0004_0014_add.wav,0004
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0004_0015_add.wav,0004
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0004_0016_add.wav,0004
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0004_0020_add.wav,0004
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0004_0022.wav,0004
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0004_0037.wav,0004
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0004_0051.wav,0004
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0005_0001_add.wav,0005
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0005_0005_add.wav,0005
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0005_0007_add.wav,0005
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0005_0014.wav,0005
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0005_0016_add.wav,0005
D:\HD-Track2\HD-Track2\HD-Track2-dev\HD-Track2-dev-en\Follow-up Questions\0005_0019.wav,0005
